cell,CD4,TLL1,EPHA8,CD69,CDKN1A,CCR7,PDGFRA,CD44,FCGR2A,EGFR,KHDRBS2,DRAXIN,LMX1A,RFTN2,IGFBP7,EOMES,CTLA4,HHIP,COL1A2,TRIM9,ATOH1,IGF1,NCAM1,TULP1,FOXJ1,CD37,CD19,RIT2,IGDCC3,VTCN1,KCNH8,CNTN2,PTCH1,OTX2,MEIS2,TNC,CDH5,PPP1R17,APOD,SEMA6A,NNAT,NPAS3,PTPRC,IL4,EZH2,CD74,C5AR1,DLL3,SRC,HLA-DRB1,Blank-1,Blank-2,Blank-3,Blank-4,Blank-5,Blank-6,Blank-7,Blank-8,Blank-9,Blank-10,Blank-11,Blank-12,Blank-13,Blank-14,Blank-15,Blank-16,Blank-17,Blank-18,Blank-19,Blank-20,Blank-21,Blank-22,Blank-23,Blank-24,Blank-25,Blank-26,Blank-27,Blank-28,Blank-29,Blank-30,Blank-31,Blank-32,Blank-33,Blank-34,Blank-35,Blank-36,Blank-37,Blank-38,Blank-39,Blank-40
112824700230101275,0,1,0,0,10,0,3,0,0,0,0,0,0,0,0,0,0,1,3,1,1,0,10,0,0,0,0,0,0,0,0,3,0,0,4,1,0,0,2,6,23,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112824700230101277,0,3,0,0,2,0,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,10,0,0,0,0,0,1,0,0,4,0,0,2,0,0,0,0,3,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112824700230101278,0,0,0,0,8,0,1,0,1,0,0,0,0,2,2,0,0,5,5,0,1,0,10,0,0,0,0,0,0,0,1,1,4,0,2,0,1,1,4,7,14,0,0,0,4,1,0,4,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
112824700230101280,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,2,1,12,0,1,0,0,0,3,0,0,1,2,0,1,0,0,1,2,1,12,1,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112824700230101281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112824700230101282,0,1,0,0,0,0,1,1,0,0,0,0,0,1,2,0,0,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112824700230101284,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112824700230101285,0,6,1,0,3,0,0,0,0,0,0,4,0,0,10,0,0,1,8,1,2,0,13,0,0,0,1,0,1,0,0,5,2,0,1,0,6,0,5,19,38,0,0,0,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
112824700230101286,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,9,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,6,2,2,0,0,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112824700230101292,0,0,0,0,2,0,0,0,0,4,0,3,0,3,0,0,0,2,2,1,1,0,17,0,0,0,0,0,0,0,0,1,3,0,9,0,0,3,6,5,8,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
